Code,active_from,Commdts,mine
9004-HQ-LML,2004,"Cobalt, Copper, Gold, Silver, Sulfur, Uranium",m01
9003-HQ-LML,2004,"Cobalt, Copper, Gold, Silver, Sulfur, Uranium",m01
9002-HQ-LML,2004,"Cobalt, Copper, Gold, Silver, Sulfur, Uranium",m01
9001-HQ-LML,2004,"Cobalt, Copper, Gold, Silver, Sulfur, Uranium",m01
9000-HQ-LML,2004,"Cobalt, Copper, Gold, Silver, Sulfur, Uranium",m01
8089-HQ-LML,2004,"Cobalt, Copper, Gold, Silver, Sulfur, Uranium",m01
8353-HQ-LML,2006,"Bismuth, Chromium, Coal, Cobalt, Copper, Diamond, Gold, Iron Ore, Lead, Manganese, Molybdenum, Nickel, Phosphorus-Phosphates, Selenium, Silver, Sulfur, Tellurium, Thorium, Titanium, Uranium, Vanadium, Zinc, Zirconium",m02
22446-HQ-LML,2008,"Dolomite, Laterite, Limestone (General)",m03
19456-HQ-LML,2008,Dolomite,m04
19001-HQ-LML,2008,"Limestone (General), Stone",m05
16032-HQ-LML,2011,"Crushed/Broken Stone, Dolomite, Limestone (General)",m06
15872-HQ-LML,2011,"Cobalt, Copper, Gold, Iron Ore, Nickel, Platinum Group Metals, Selenium, Silver",m07
15871-HQ-LML,2011,"Cobalt, Copper, Gold, Iron Ore, Nickel, Platinum Group Metals, Selenium, Silver",m07
15870-HQ-LML,2011,"Cobalt, Copper, Gold, Iron Ore, Nickel, Platinum Group Metals, Selenium, Silver",m07
15869-HQ-LML,2011,"Cobalt, Copper, Gold, Iron Ore, Nickel, Platinum Group Metals, Selenium, Silver",m07
15868-HQ-LML,2011,"Cobalt, Copper, Gold, Iron Ore, Nickel, Platinum Group Metals, Selenium, Silver",m07
22025-HQ-LML,2012,Limestone (General),m08
19159-HQ-LML,2012,Limestone (General),m08
16773-HQ-LML,2012,Limestone (General),m09
18153-HQ-LML,2013,Copper,m11
20147-HQ-LML,2013,"Dolomite, Limestone (General)",m10
20539-HQ-LML,2014,Limestone (General),m16
20306-HQ-LML,2014,Limestone (General),m15
20059-HQ-LML,2014,"Dolomite, Granite, Limestone (General)",m18
20000-HQ-LML,2014,"Cobalt, Copper, Gold, Granite, Limestone (General), Manganese",m14
19725-HQ-LML,2014,"Limestone (General), Marble",m17
19437-HQ-LML,2014,"Dolomite, Granite, Limestone (General)",m13
18703-HQ-LML,2014,Limestone (General),m12
20501-HQ-LML,2015,"Cobalt, Copper, Gold, Iron Ore, Limestone (General), Manganese, Silver, Zinc",m21
20386-HQ-LML,2015,"Dolomite, Limestone (General)",m20
15071-HQ-LML,2015,"Amethyst, Cobalt, Copper, Lead, Manganese, Quartz, Tin, Tourmaline, Zinc",m19
8354-HQ-LML,2017,"Copper, Gold, Iron Ore, Limestone (General), Manganese, Nickel, Stone",m22
14666-HQ-LML,2019,"Copper, Manganese",0
18659-HQ-LML,2020,"Aluminum (General), Cobalt, Copper, Gold, Iron Ore, Silver, Sulfur, Uranium, Zinc",0
8753-HQ-LML,Unclear,Tourmaline,0
23989-HQ-LML,Unclear,"Copper, Gold, Iron Ore, Platinum, Silver",0
23751-HQ-LML,Unclear,"Cobalt, Copper, Gold, Nickel, Silver",0
22447-HQ-LML,Unclear,"Dolomite, Limestone (General)",0
20405-HQ-LML,Unclear,Coal,0
19619-HQ-LML,Unclear,,0
19565-HQ-LML,Unclear,Manganese,0
19255-HQ-LML,Unclear,"Manganese, Tourmaline",0
19206-HQ-LML,Unclear,Manganese,0
13837-HQ- LML,Unclear,"Cobalt, Copper",0
12617-HQ-LML,Unclear,Copper,0
8245-HQ-LML,pre-2000,"Cobalt, Copper, Gold, Iron Ore, Lead, Silver, Tin, Zinc",0
8752-HQ-LML,pre-2000,"Beryllium, Emerald",0
8749-HQ-LML,pre-2000,"Beryllium, Emerald",0
8392 -HQ-LML,pre-2000,"Cobalt, Copper",0
8325-HQ-LML,pre-2000,"Iron Ore, Limestone (General), Pyrophyllite",0
8323-HQ-LML,pre-2000,Pyrophyllite,0
8097-HQ-LML,pre-2000,"Bismuth, Cobalt, Copper, Gold, Lead, Nickel, Silica, Silver, Uranium, Zinc",0
7625-HQ-LML,pre-2000,,0
7076-HQ-LML,pre-2000,"Cobalt, Copper, Gold, Selenium, Silver, Sulfur, Tellurium",0
7075-HQ-LML,pre-2000,"Cobalt, Copper, Gold, Selenium, Silver",0
7074-HQ-LML,pre-2000,,0
7073-HQ-LML,pre-2000,Copper,0
7071-HQ-LML,pre-2000,"Cobalt, Copper, Gold, Uranium",0
7069-HQ-LML,pre-2000,,0
7064-HQ-LML,pre-2000,Copper,0
7061-HQ-LML,pre-2000,"Cobalt, Copper",0
7058-HQ-LML,pre-2000,Coal,0
7057-HQ-LML,pre-2000,"Cobalt, Copper, Gold, Selenium, Silver, Sulfur, Tellurium",0
7045-HQ-LML,pre-2000,Limestone (General),0
6990-HQ-LML,pre-2000,"Copper, Lead, Manganese, Vanadium, Zinc",0
24498-HQ-LML,pre-2000,Manganese,0
21816-HQ-LML,pre-2000,"Cobalt, Copper, Gold",0
