Sum of  Limestone (General),16
Sum of  Copper,8
Sum of Dolomite,7
Sum of Cobalt,6
Sum of  Gold,6
Sum of  Manganese,5
Sum of  Iron Ore,4
Sum of  Silver,4
Sum of  Granite,3
Sum of  Nickel,3
Sum of stone,3
Sum of  Zinc,3
Sum of  Lead,2
Sum of  Selenium,2
Sum of  Sulfur,2
Sum of  Uranium,2
Sum of Amethyst,1
Sum of  Diamond,1
Sum of Bismuth,1
Sum of  Chromium,1
Sum of  Coal,1
Sum of  Laterite,1
Sum of  Marble,1
Sum of  Molybdenum,1
Sum of  Phosphorus-Phosphates,1
Sum of  Platinum Group Metals,1
Sum of  Quartz,1
Sum of  Tellurium,1
Sum of  Thorium,1
Sum of Tin,1
Sum of  Titanium,1
Sum of  Tourmaline,1
Sum of  Vanadium,1
Sum of  Zirconium,1
